status,date,channel,asset_id,related_asset_id,topic,objective,audience,template_set,slide_blueprint,asset_archetype,aspect_ratio,source_strategy,reuse_role,reuse_allowed,switch_up_next_time,working_example_status,prompt_path,output_path
approved,2026-03-23,feed,2026-03-23-feed-mitochondria-basics-v01,,What are mitochondria?,Educate,Research-First Wellness Optimizer,Set 1 + Set 2,5-slide,education-card,4:5,full-ai generated asset,primary education white-card explainer,"structure and education hierarchy","change support motif, exact slide rhythm, and object cue; do not copy the exact card arrangement","approved benchmark exists","prompts/instagram/feed/2026-03-23-feed-mitochondria-basics-v01.json","output/instagram/feed/2026-03-23-feed-mitochondria-basics-v01/"
approved,2026-03-23,story,2026-03-23-story-mitochondria-basics-reinforcement-v01,2026-03-23-feed-mitochondria-basics-v01,Mitochondria basics story reinforcement,Reinforce,Research-First Wellness Optimizer,Set 1,story-3-frame,story-reinforcement,9:16,full-ai generated asset,white-card story reinforcement,"story structure and calm text-first pacing","change background cue, hook wording, and CTA phrasing; keep the system light","approved partial examples exist","prompts/instagram/stories/2026-03-23-story-mitochondria-basics-reinforcement-v01.json","output/instagram/stories/2026-03-23-story-mitochondria-basics-reinforcement-v01/"
current,2026-03-25,story,2026-03-25-story-busy-day-context-v01,,Busy day condition reminder,Reinforce,Sleep-Deprived High Performer,Set 1,story-3-frame,story-reinforcement,9:16,full-ai generated asset,workday-context reinforcement story,"story card system and context-led tone","change the workday cue and exact text pacing; keep the reinforcement job","approved partial examples exist","prompts/instagram/stories/2026-03-25-story-busy-day-context-v01.json","output/instagram/stories/2026-03-25-busy-day-context/current/"
approved,2026-03-26,story,2026-03-26-story-stimulus-vs-balance-poll-v01,,Stimulus versus balance poll story,Gather engagement,Sleep-Deprived High Performer,Set 4,story-3-frame,story-reinforcement,9:16,full-ai generated asset,interactive poll story,"interactive structure and lifestyle-led calm poll pacing","change the question frame and lifestyle cue; avoid repeating the exact poll framing","none","prompts/instagram/stories/2026-03-26-story-stimulus-vs-balance-poll-v01.json","output/instagram/stories/2026-03-26-story-stimulus-vs-balance-poll-v01/"
approved,2026-03-27,feed,2026-03-27-feed-epicatechin-basics-v03,,What is epicatechin?,Educate,Research-First Wellness Optimizer,Set 1 + Set 2,5-slide,education-card,4:5,full-ai generated asset,ingredient education carousel,"education structure and premium explainer pacing","change cover framing, support diagram logic, and exact body sequence; keep the calm science mode","approved cover example exists","prompts/instagram/feed/ig-feed-2026-03-27-epicatechin-basics-v01.json","output/instagram/feed/2026-03-27-feed-epicatechin-basics-v03/"
approved,2026-03-27,story,2026-03-27-story-epicatechin-qa-v01,2026-03-27-feed-epicatechin-basics-v03,Epicatechin question-box story,Encourage questions after the March 27 feed post,Research-First Wellness Optimizer,Set 1,story-3-frame,story-reinforcement,9:16,full-ai generated asset,question-box reinforcement story,"story reinforcement structure and ask-response pacing","change the opener and question framing; keep the calm Q&A function","uses approved working examples","prompts/instagram/stories/2026-03-27-story-epicatechin-qa-v01.json","output/instagram/stories/2026-03-27-story-epicatechin-qa-v01/"
production-ready,2026-03-30,feed,2026-03-30-feed-trustworthy-supplement-choice-v01,,How to choose a trustworthy supplement brand,Build trust,Healthy Aging Planner,Set 5 + Set 1,3-slide,trust-carousel,4:5,design-first compositor + existing image plate,trust-led short carousel,"carousel structure, editorial criteria framing, and compositor-led typography control","change portrait crop, middle-slide criteria wording, and closing cadence; keep the trust-first architecture","candidate for future working example promotion","prompts/instagram/feed/2026-03-30-feed-trustworthy-supplement-choice-v01.json","output/instagram/feed/2026-03-30-feed-trustworthy-supplement-choice-v01/production/"
production-ready,2026-03-30,story,2026-03-30-story-trust-question-story-v01,2026-03-30-feed-trustworthy-supplement-choice-v01,Trust question story,Encourage light interaction after the March 30 feed post,Healthy Aging Planner,Set 5 + Set 1,story-3-frame,story-reinforcement,9:16,design-first compositor + existing image plate,trust-question story sequence,"story sequence structure, poll-safe CTA frame, and design-first type control","change opener crop, question wording, and abstract support cue; keep the interaction logic","candidate only","prompts/instagram/stories/2026-03-30-story-trust-question-story-v01.json","output/instagram/stories/2026-03-30-story-trust-question-story-v01/production/"
production-ready,2026-04-01,feed,ig-feed-2026-04-01-reel-daily-foundation-v01-v01,,Energy is not only about stimulation,Educate,Sleep-Deprived High Performer,Set 4 + Set 3,reel-4-shot,reel-source-frame,9:16,Nano Banana reel source-frame set,foundation-first home-morning reel,"reel structure, calm home-morning world, and bottle-entry sequence","change subject crop, routine action, and product-entry framing; keep the daily-foundation reframe logic","candidate only","prompts/instagram/feed/ig-feed-reel-2026-04-01-daily-foundation-shot-01-v01.json","output/instagram/reels/2026-04-01-reel-daily-foundation-v01/current/"
production-ready,2026-04-01,story,2026-04-01-story-daily-condition-view-v01,ig-feed-2026-04-01-reel-daily-foundation-v01-v01,Daily condition perspective story,Reinforce,Sleep-Deprived High Performer,Set 1,story-3-frame,story-reinforcement,9:16,design-first compositor + existing image plate,foundation-first reinforcement story,"story structure, authored Japanese line breaks, and reel-linked opener","change opening plate, question wording, and CTA phrasing; keep the daily-foundation self-check logic","candidate only","prompts/instagram/stories/2026-04-01-story-daily-condition-view-v01.json","output/instagram/stories/2026-04-01-story-daily-condition-view-v01/production/"

